created_at,created_at
1972-01,15
1972-02,18
1972-03,23
1972-04,31
1972-05,23
1972-06,31
1972-07,19
1972-08,25
1972-09,22
1972-10,21
1972-11,30
1972-12,16
1973-01,31
1973-02,17
1973-03,36
1973-04,21
1973-05,40
1973-06,35
1973-07,38
1973-08,38
1973-09,41
1973-10,28
1973-11,31
1973-12,40
1974-01,70
1974-02,47
1974-03,72
1974-04,58
1974-05,59
1974-06,43
1974-07,58
1974-08,55
1974-09,44
1974-10,49
1974-11,54
1974-12,52
1975-01,3
1975-02,2
1975-03,5
1975-04,10
1975-05,5
1975-06,8
1975-07,1
1975-08,6
1975-09,6
1975-10,15
1975-11,58
1975-12,37
1976-01,52
1976-02,50
1976-03,39
1976-04,37
1976-05,53
1976-06,39
1976-07,41
1976-08,48
1976-09,40
1976-10,41
1976-11,57
1976-12,36
1977-01,52
1977-02,36
1977-03,55
1977-04,47
1977-05,47
1977-06,45
1977-07,60
1977-08,55
1977-09,44
1977-10,78
1977-11,48
1977-12,41
1978-01,45
1978-02,38
1978-03,44
1978-04,34
1978-05,43
1978-06,50
1978-07,63
1978-08,38
1978-09,47
1978-10,54
1978-11,54
1978-12,64
1979-01,70
1979-02,41
1979-03,58
1979-04,47
1979-05,41
1979-06,52
1979-07,74
1979-08,58
1979-09,55
1979-10,65
1979-11,64
1979-12,62
1980-01,104
1980-02,78
1980-03,86
1980-04,66
1980-05,94
1980-06,76
1980-07,88
1980-08,64
1980-09,93
1980-10,66
1980-11,50
1980-12,42
1981-01,43
1981-02,79
1981-03,70
1981-04,64
1981-05,61
1981-06,51
1981-07,69
1981-08,48
1981-09,54
1981-10,47
1981-11,59
1981-12,66
1982-01,67
1982-02,74
1982-03,78
1982-04,60
1982-05,34
1982-06,65
1982-07,67
1982-08,80
1982-09,57
1982-10,69
1982-11,54
1982-12,60
1983-01,66
1983-02,45
1983-03,48
1983-04,44
1983-05,60
1983-06,56
1983-07,50
1983-08,46
1983-09,55
1983-10,64
1983-11,94
1983-12,67
1984-01,75
1984-02,87
1984-03,58
1984-04,35
1984-05,23
1984-06,3
1984-08,50
1984-09,207
1984-10,106
1984-11,50
1984-12,41
1985-01,75
1985-02,78
1985-03,73
1985-04,46
1985-05,71
1985-06,42
1985-07,58
1985-08,51
1985-09,71
1985-10,55
1985-11,68
1985-12,54
1986-01,46
1986-02,94
1986-03,103
1986-04,124
1986-05,74
1986-06,122
1986-07,100
1986-08,92
1986-09,153
1986-10,357
1986-11,196
1986-12,337
1987-01,133
1987-02,169
1987-03,188
1987-04,127
1987-05,120
1987-06,141
1987-07,91
1987-08,141
1987-09,162
1987-10,174
1987-11,212
1987-12,159
1988-01,203
1988-02,169
1988-03,169
1988-04,110
1988-05,141
1988-06,160
1988-07,129733
1988-08,962
1988-09,894
1988-10,860
1988-11,662
1988-12,663
1989-01,993
1989-02,934
1989-03,1792
1989-04,289417
1989-05,1112
1989-06,1800
1989-07,5952
1989-08,1907
1989-09,6930
1989-10,2551
1989-11,3781
1989-12,1896
1990-01,2627
1990-02,2783
1990-03,5089
1990-04,2932
1990-05,3675
1990-06,12107
1990-07,5544
1990-08,3801
1990-09,3676
1990-10,7449
1990-11,4479
1990-12,3975
1991-01,6960
1991-02,4584
1991-03,4392
1991-04,3966
1991-05,2894
1991-06,4413
1991-07,4235
1991-08,4757
1991-09,4615
1991-10,3557
1991-11,4121
1991-12,3812
1992-01,3896
1992-02,4426
1992-03,3712
1992-04,14607
1992-05,3223
1992-06,9155
1992-07,5597
1992-08,4683
1992-09,4414
1992-10,4209
1992-11,4246
1992-12,13471
1993-01,3776
1993-02,6742
1993-03,5263
1993-04,7644
1993-05,5285
1993-06,4858
1993-07,5314
1993-08,6172
1993-09,5244
1993-10,4629
1993-11,5729
1993-12,3886
1994-01,5493
1994-02,4604
1994-03,6813
1994-04,5638
1994-05,5745
1994-06,4952
1994-07,6124
1994-08,7723
1994-09,6337
1994-10,9911
1994-11,13833
1994-12,6970
1995-01,20436
1995-02,11218
1995-03,7386
1995-04,6419
1995-05,5384
1995-06,21841
1995-07,10596
1995-08,13141
1995-09,10695
1995-10,8172
1995-11,10321
1995-12,9748
1996-01,15577
1996-02,17517
1996-03,20302
1996-04,19295
1996-05,15049
1996-06,20797
1996-07,23977
1996-08,21208
1996-09,12584
1996-10,11907
1996-11,13345
1996-12,10279
1997-01,11717
1997-02,10467
1997-03,9583
1997-04,8684
1997-05,11599
1997-06,11718
1997-07,36820
1997-08,9928
1997-09,12124
1997-10,11953
1997-11,17406
1997-12,8858
1998-01,10517
1998-02,10254
1998-03,12392
1998-04,165513
1998-05,11982
1998-06,9663
1998-07,12091
1998-08,15385
1998-09,18232
1998-10,9217
1998-11,15677
1998-12,10207
1999-01,24821
1999-02,12653
1999-03,13534
1999-04,10655
1999-05,11603
1999-06,15936
1999-07,12739
1999-08,13128
1999-09,14825
1999-10,17307
1999-11,12053
1999-12,8731
2000-01,36958
2000-02,12301
2000-03,12698
2000-04,8704
2000-05,10794
2000-06,9441
2000-07,10673
2000-08,12700
2000-09,9488
2000-10,9599
2000-11,11455
2000-12,8212
2001-01,10559
2001-02,11061
2001-03,40858
2001-04,9428
2001-05,46989
2001-06,24546
2001-07,10433
2001-08,11605
2001-09,9477
2001-10,42253
2001-11,12025
2001-12,16384
2002-01,20024
2002-02,11102
2002-03,20649
2002-04,17066
2002-05,9373
2002-06,19821
2002-07,21576
2002-08,18836
2002-09,13516
2002-10,10643
2002-11,9890
2002-12,7107
2003-01,10736
2003-02,55158
2003-03,26078
2003-04,15730
2003-05,12877
2003-06,18028
2003-07,13668
2003-08,9616
2003-09,17468
2003-10,14240
2003-11,13846
2003-12,9569
2004-01,13689
2004-02,12842
2004-03,15009
2004-04,11330
2004-05,10568
2004-06,12862
2004-07,13447
2004-08,12337
2004-09,11026
2004-10,13137
2004-11,12765
2004-12,10935
2005-01,12627
2005-02,10851
2005-03,12373
2005-04,12845
2005-05,10244
2005-06,13142
2005-07,13678
2005-08,13223
2005-09,13489
2005-10,13566
2005-11,14785
2005-12,10723
2006-01,13330
2006-02,14403
2006-03,36834
2006-04,11930
2006-05,13714
2006-06,13099
2006-07,15968
2006-08,15257
2006-09,11982
2006-10,13192
2006-11,14382
2006-12,11136
2007-01,15669
2007-02,14992
2007-03,14967
2007-04,13770
2007-05,13966
2007-06,13742
2007-07,14775
2007-08,14050
2007-09,13137
2007-10,16354
2007-11,16875
2007-12,11120
2008-01,15264
2008-02,15005
2008-03,14443
2008-04,16013
2008-05,13734
2008-06,17890
2008-07,19660
2008-08,17815
2008-09,17987
2008-10,18746
2008-11,20206
2008-12,16374
2009-01,18425
2009-02,21331
2009-03,23855
2009-04,21374
2009-05,17261
2009-06,20512
2009-07,21416
2009-08,19400
2009-09,20241
2009-10,22542
2009-11,23123
2009-12,16435
2010-01,18517
2010-02,19474
2010-03,23179
2010-04,18204
2010-05,18013
2010-06,22434
2010-07,19096
2010-08,19059
2010-09,17551
2010-10,17752
2010-11,18549
2010-12,15088
2011-01,17595
2011-02,18769
2011-03,66554
2011-04,17820
2011-05,24525
2011-06,30585
2011-07,17590
2011-08,141213
2011-09,459367
2011-10,31339
2011-11,18929
2011-12,15957
2012-01,21062
2012-02,22487
2012-03,23801
2012-04,5925
2012-05,17698
2012-06,20201
2012-07,21553
2012-08,21196
2012-09,18823
2012-10,20260
2012-11,21444
2012-12,15331
2013-01,21995
2013-02,19431
2013-03,20919
2013-04,24494
2013-05,37466
2013-06,22979
2013-07,42215
2013-08,22535
2013-09,33917
2013-10,23109
2013-11,23496
2013-12,17324
2014-01,23866
2014-02,25878
2014-03,25435
2014-04,29586
2014-05,37561
2014-06,40946
2014-07,47322
2014-08,225909
2014-09,21508
2014-10,24109
2014-11,151209
2014-12,27622
2015-01,55340
2015-02,31054
2015-03,40673
2015-04,32575
2015-05,19991
2015-06,42842
2015-07,46115
2015-08,22654
2015-09,19789
2015-10,22357
2015-11,25138
2015-12,20315
2016-01,23212
2016-02,27563
2016-03,366439
2016-04,29602
2016-05,24586
2016-06,27922
2016-07,25188
2016-08,27122
2016-09,25481
2016-10,43352
2016-11,29145
2016-12,22834
2017-01,29601
2017-02,25666
2017-03,31193
2017-04,22136
2017-05,31395
2017-06,29915
2017-07,26098
2017-08,26692
2017-09,25328
2017-10,25666
2017-11,201472
2017-12,23051
2018-01,28946
2018-02,29191
2018-03,27865
2018-04,26771
2018-05,221754
2018-06,26913
2018-07,28692
2018-08,28119
2018-09,24077
2018-10,29064
2018-11,28750
2018-12,20909
2019-01,28671
2019-02,28590
2019-03,25695
2019-04,27080
2019-05,28843
2019-06,24117
2019-07,31347
2019-08,29107
2019-09,29537
2019-10,31959
2019-11,31144
2019-12,23674
2020-01,31687
2020-02,31806
2020-03,29648
2020-04,30904
2020-05,28928
2020-06,29711
2020-07,34518
2020-08,27672
2020-09,28702
2020-10,29824
2020-11,29902
2020-12,21456
2021-01,28519
2021-02,30199
2021-03,33560
2021-04,28002
2021-05,25372
2021-06,27306
2021-07,28743
2021-08,27952
2021-09,23314
2021-10,46727
2021-11,27561
2021-12,23782
2022-01,9739
